University,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26
Colombo International Nautical and Engineering College (CINEC),15,22,28,100,40,45
National Institute of Business Management (NIBM),20,28,35,42,48,55
General Sir John Kotelawala Defence University (KDU),80,95,110,125,140,165
NSBM Green University,60,75,90,105,115,130
Rajarata University of Sri Lanka,45,55,68,75,85,20
Open University of Sri Lanka,50,62,75,88,95,110
Sabaragamuwa University of Sri Lanka,40,50,62,75,88,102
South Eastern University of Sri Lanka (SEUSL),35,48,60,72,85,95
Sri Lanka Institute of Information Technology (SLIIT),150,175,200,230,260,295
University of Kelaniya,70,85,105,120,135,155
SLTC Research University,55,68,82,95,110,125
University of Jaffna,85,105,125,145,160,185
University of Colombo School of Computing (UCSC),120,140,165,190,210,235
University of Ruhuna,90,110,135,155,175,205
University of Sri Jayewardenepura,100,125,150,180,205,230
University of Vavuniya,30,40,55,68,80,95
University of Vocational Technology (UniVotec),25,35,45,55,65,78
Uva Wellassa University of Sri Lanka (UWU),65,80,98,115,130,150
Wayamba University of Sri Lanka,50,65,82,95,110,128
Informatics Institute of Technology (IIT),75,95,115,135,155,180
Curtin University Colombo,10,18,25,35,45,58
University of Peradeniya,180,210,245,280,315,355
University of Moratuwa,250,290,340,390,445,510
